Seq,source,title,tags,apply_space,apply_style,apply_cost,output_text
10007,paired,구조 변경 없이 더 넓은 거실 만들기 부천 진달래 49py,"49평형도면, 상동진달래대우, 49평형인테리어, 49평리모델링, 아파트인테리어, 진달래대우아파트, 상동아파트인테리어, 아파트리모델링, 진달래대우푸르지오, 거실인테리어, 아트월템바보드, 아트월인테리어, 폴딩도어, 드레스룸, 시스템장, 루바보드, 템바보드, 아트월, 보일러장, 복도인테리어, 빌트인tv장, 안방, TV장, 슈퍼슬림3연동중문, 현관인테리어, 중문, 현관, 주방, 부엌, 수전, 유로100, 베일라이트우드","spa_0008, spa_0001, spa_0009, spa_0010, spa_0003, spa_0011, spa_9999",sty_0002,cos_0009,"현관 및 복도 골드 포인트 중문과 북유럽풍 패턴 타일의 조합 현관 중문은 3연동 슬라이딩 도어를 설치했습니다. 상부는 비산방지 효과 가 있는 망입 유리, 하부는 모루유리 시공으로 지저분한 공간을 가려주었습니다. 신발장은 띄움 시공으로 간접조명을 설치해 현관의 은은한 무드를 더해주었습니다 비산방지란? 유리창이 깨질 경우 조각난 파편이 날리는 것을 방지하기 위해 유리에 얇은 시트지를 붙이는 것을 의미해요!"
10011,paired,"하남풍산아이파크 33평, 아치파티션을 이용하여 거실과 주방을 연결!","3연동슬라이딩도어, 현관인테리어, 신발장, 행잉형신발장, 아치파티션, 거실인테리어, 수납장, 매트화이트, 그레이, 화이트, 강마루, 우물천장, 다운라이트, 방화문, 방화문필름, 붙박이장, 인테리어필름, 침실인테리어, 화장대, 파우더룸, 아이방인테리어, 30평대인테리어, 공부방, 책상, 자녀방, 주방인테리어, 키친, 욕실인테리어, 고급욕실, 호텔식욕실, 화장실인테리어, 변기, 세면기, 한샘바스, 비친판넬, 플랫화이트, 플랫그레이, 키친판넬","spa_0008, spa_0001, spa_0009, spa_0006, spa_0010, spa_0007, spa_0011",sty_0002,cos_0007,"1. 유리 파티션을 제거하고 소파자리를 확보하여 거실과 주방의 공간 분리와 의사소통 기능을 가질 수 있으며 2. 아치 형태의 포인트로 시공하여 좁은 주방을 시각적으로 개방감을 주면서 자연스럽게 거실과 주방이 연결성을 가지면서도 모던하고 이색적인 분위기로 연출하였습니다.! - 3. 또한, 유리를 설치하지 않아서 대화를 언제든지 이어갈 수 있도록 하며, 거실의 아치포인트쪽을 보면 2인치 다운라이트로 포인트가 되도록 하였습니다. 3인치는 빛이 강해 음영이 부분이 생길 수 있어서 그런부분을 줄이고 고르게 포인트를 주기 위해 2인치로 설치하였습니다. - 안방 1. 특징이 있다면은 출입구가 벽하고 가까워서 붙박이장을 문 앞까지 가지고 들어가면은 2. 통행에 방해가 되어서 출입구쪽은 선반을 설치하도록 하였습니다. - 거실욕실이랍니다. 거실은 베이지톤의 타일과 나무결의 포인트를 주도록하였습니다. 모래느낌의 사하라와 나무결의 타일로 공간이 따뜻한 느낌을가질 수 있도록 하였습니다."
10017,paired,영유아자녀를 위한 모던 러블리 33평 아파트 리모델링,"3연동, 초슬림, 중문, 망입유리, 공용욕실, 은경슬라이딩장, 레인보우샤워수전, 사각세면대, 모던, 수납, 우물천장, 심플, 비스포크, 세탁기, 삼성, 빌트인, 화장대, LED조명, 템바보드, 붙박이장, 빌트인수납, 침대, 러블리, 거울, 우드, 아이방, 안방욕실, 숏젠다이, 창고장, 플랫화이트, 가전기기수납장, 빌트인후드, 비스포크냉장고, 삼성비스포크, 수전, 인덕션","spa_0008, spa_0001, spa_0009, spa_0006, spa_0010, spa_0007, spa_0004, spa_0011, spa_9999",sty_0002,cos_0008,"단열과 소음, 미세먼지 차단 에 뛰어난 3연동 중문입니다. 좁은공간을 개방감있게 사용하실 수 있고 깔끔한 연출이 가능합니다 - 수납이 탁월한 TV거실장 입니다~ 우물천장 으로 포인트를 주어 은은한 조명으로 더욱 따뜻한 분위기를 연출 했습니다. - 남은공간을 활용하여 빌트인 화장대를 설계하였습니다 LED조명 거울로 고급스러운 분위기를 연출하였습니다. - 빌트인 수납장을 활용하여 아이가 좋은 환경에서 놀 수 있게 연출해보았습니다!"
10018,paired,아늑한 안방 공간 분리! 32평 2베이 보다 더 넓어보이게,"자주방, 아일랜드식탁, 빌트인냉장고, 아일랜드후드, 디자인문틀, 9mm문틀, 무늬목마루, 광폭마루, 라인조명, 붙박이장, 바흐브라운, 서재, 재택근무, 실린팬, 거실확장, 아치형기둥, 거실인테리어, 아일랜드, 아일랜드주방, 키친핏냉장고, 아치형중문, 여닫이중문, 스윙중문, 포세린타일","spa_0008, spa_0001, spa_0009, spa_0010, spa_0003, spa_0005, spa_0007, spa_0011, spa_9999",sty_0002,cos_0008,"공용욕실은 관리가 편하고 고급스러움까지 연출이 가능한 포세린타일로 시공했습니다. 또한, 거울은 센서 조명으로 간단하게 세면대 이용 시, 간접조명만으로도 충분히 활용이 가능하게끔 해드렸습니다."
10020,paired,"간결하고,깨끗하게 32평 아파트 리모델링","중문, 팬던트, 유로식탁","spa_0008, spa_0001, spa_0009, spa_0010, spa_0003, spa_0005, spa_0007, spa_0004, spa_0011, spa_9999",sty_0002,cos_0007,"현관은 집의 첫인상을 결정짓는 공간인 만큼 밝고 따뜻한 분위기로 연출되었으면 했습니다. 현관장은 라이프스타일에 맞춘 맞춤형 현관장을 통해 효율적인 수납공간을 느끼실 수 있게 설계하였으며 영유아 용품에도 사용되는 친환경 소재인ML100 무드화이트제품을 사용하여 자연스러운 질감의 베이직 화이트컬러로 군더더기 없이 깔끔한 현관 공간을 완성해주었습니다. 또한 현관문을 통해 집안으로 들어오면 바로 보이는 중문은 단순히 냉 난방비를 절감시키는 목적뿐만아니라 미세먼지의 차단이나 소음을 차단해주는 역할을 해주는 아주 중요한 역할을 해준답니다~ - 거실은 취미생활이 독서인 고객님의 라이프스타일에 맞는 맞춤형 설계장을 통해 효율적인 수납공간을 느끼실 수 있습니다. 거실은 우물천장을 통해 공간을 더욱 시각적으로 넓게 확장해 주는 느낌을 주었으며, 조명은 크게 간접등과 메인등으로 나눠 시공을 했습니다. 간접등은 주백색으로 따스함을 주었고 메인등은 백색으로 시공하였습니다. 또한 폴딩도어를 설치하였습니다. 폴딩도어는 도어개폐율이 90%로 확장과 비확장이 자유로움이있으며 카페 분위기를 연출시킬수 있다는 장점이있습니다 하지만 폴딩도어를 거실에서 사용하시게 된다면 틈새가있어 단열이 조금약할수 있기때문에 외부 창은 이중창을 설치하시는걸 권장드립니다~ - 발코니 공간에 대해 설명해드리겠습니다~ 부드러운 햇살이 드라우는 발코니 공간에 어울리는 화이트 컬러의 수납장입니다. 설치 공간 깊이와 수납 물품에 따라 내부 구성을 변경할 수 있습니다. 내부 공간에 선반은 높이를 자유롭게 두어서 하부에는 캐리어, 박스 등 부피가 큰 물품들을 보관하고 상부에는 작은 물품들을 보관할 수 있습니다. 한샘 반침다용도장을 설치하여 깔끔한 공간을 연출해보세요~ 마지막으로 주방과 발코니 사이에는 방음과 단열이 우수한 터닝도어를 설치하였습니다. - 집안에서 가장 중요한 침실에 대해서 설명드리겠습니다! 최대한 포근하고 호텔식 느낌을 연출하였으며 안방의 한쪽 면은 TV장과 붙박이장을 설계하였습니다. 또한 빌트인 파우더장을 같이 설계하여 효율적인 수납공간을 느끼실 수있습니다~ - 방 하나는 드레스룸으로 꾸며보았습니다~ 드레스룸은 한샘 바흐 화이트 시스템장을 설치하였습니다. 시스템장은 벽쪽으로 밀착시켜 시공해 공간을 잘 활용할 수 있으며 오픈된 형태로 되어있어 옷을 코디할때도 한눈에 보고 쉽게 고를 수 있고, 보관 및 정리할때도 문을 열었다 닫았다 할 필요가 없어 손쉽게 정리가 가능하다는 장점이있습니다~"
10024,paired,브리저튼st 클래식함과 모던함의 믹스매치 인테리어,"그린, 식물, 미니정원, 티테이블, 담소, 웨인스코팅, 갤러리, 복도, 중문, 벽등, 해링본, 갤러리폴딩도어, 클래식, 모던, 그레이, 믹스매치, 러그, 벽난로, 발코니, 화단, 사색, 차, 블루, 다크브라운, 차분함, 화이트, 골드, 비대칭고급형중문, 유로클래식, 행잉형현관장, 클래식거울, 벽조명, 클래식커튼, 폭신한러그, 엔틱, 화장대, 우드, 침대, 커튼, 핑크, 살구, 심플, 세탁실, 다용도실, 붙박이장, 명품, 클래식도어, 키친바흐, 맨하탄, 다이닝룸, 유리벽장, 아릴랜드, 대리석, 아일랜드, 루버, 비스포크, 키친핏, 프리모, 샤인베이지벽판넬, 한샘바스, 하이브리드욕실, 해바라기, 샤워부스, 프렌치클래식상부장, 프렌치클래식하부장, 샤인화이트벽판넬","spa_0008, spa_0001, spa_0009, spa_0006, spa_0010, spa_0005, spa_0007, spa_0004, spa_0011, spa_9999",sty_0002,cos_0009,"현관에서 나오면 바로 나타나는 복도는 웨인스코팅과 벽패널을 연속적으로 배치하여 갤러리에 온듯한 느낌을 연출하였고, 미술작품을 복도 끝쪽 벽에 세워서 연출하여 우아하며서도 무심한듯 세련된 스타일로 연출 하였습니다. 웨인스코팅은 일반적으로 목공에서 시공하며, 추가로 도장 작업도 가능합니다. 몰딩의 종류와 몰딩의 배치 간격, 높이, 형태 등을 디테일하게 설정한 뒤 시공해야 예쁘게 시공이 가능합니다. - 안방은 골드 컬러의 무늬 벽지와 커튼! 한샘의 클래식 하면서도 심플한 스타일의 유로클래식 붙박이장을 사용하여 고급스러운 분위기를 연출하고 수납력 또한 확보하였습니다."
10029,paired,모던 다이닝 공간이 포인트 ! 모던한 우드톤 30평대 아파트,"자형주방, 아일랜드후드, 월플러스, 거실벽철거, 대학생, 서재, 드레스룸, 원형러그, 전신거울, 중고등학생, 자녀방, 침대헤드, 아치형도어, 탑뷰","spa_0008, spa_0001, spa_0009, spa_0006, spa_0010, spa_0003, spa_0007, spa_9999",sty_0002,cos_0008,"거실은 확장형으로 나온 타입이여서 이미 넓은 공간이 확보되어 있었어요 ! 갤러리 느낌을 원하시는 고객님의 니즈에 따라 곳곳에 감각적인 DP를 해드렸어요 ~ 조명도 직부등 없이 우물천장 간접등, 매입등만으로 배치하여 심플한 천정을 조성했어요 ! 바닥은 밝은 오크 컬러의 강마루를 시공하여 웜톤의 벽지와 TV벽면에는 포인트로 월플러스 사하라 시리즈를 시공하였답니다 ! - 욕실은 고객의 니즈를 반영해 수납을 1순위로 두고 설계하였습니다 ! 하부장과 플랩상부장, 코너선반을 시공해 넉넉한 수납공간을 확보했습니다. 벽, 바닥 동일한 600각 타일을 시공하여 모던하고 심플한 분위기를 연출하였습니다. 욕실 바닥에 600각 타일 시공 시 , 구베(물길)를 잘 잡을 수 있는지 우선 체크하는 것이 최우선입니다 ! - 도어와 같은 우드 필름으로 침대헤드를 시공하였으며, 침대헤드 뒤로 루바 포인트를 주어 호텔같은 분위기를 연출하였습니다 ! 드레스룸으로 들어가는 도어는 아치형 오픈도어로 바꿔 개방감을 주었습니다 ! 아치형 오픈도어 시공 시, 수직에서 라운드가 이어지는 부분을 자연스럽게 이어주는 것이 중요합니다. - 2개의 방은 각각 대학생, 고등학생인 자녀에 맞게 실용적으로 설계해드렸습니다 !"
10030,paired,퇴근이 기다려지는 신혼부부 화이트 모던 24평 청라 호반베르디움 인테리어,"세탁기실, 키친, 주방인테리어, 화이트인테리어, 모던인테리어, 워시타워, 욕실, 화장실, 욕실인테리어, 화장실인테리어, 욕실파티션, 해바라기샤워기, 인천, 인천인테리어, 아파트인테리어, 주거공간, 주방, 거실인테리어, 3연동중문, 비친, 주방키큰장, 가전수납대, 싱크대, 중문, 현관, 신발장, 인테리어, 필름, 다운라이트","spa_0008, spa_0001, spa_0010, spa_0007, spa_0011, spa_9999",sty_0002,cos_0005,1. 주방은 간접등을 설치해드리고 식탁이 있는 곳은 다운라이트를 통해서 조도를 맞추도록 하였습니다. 2. 거실이면서도 주방이 같이 있는 공간입니다. 그만큼 많은 시간이 지나고 쌓일 수 있는 공간이 되도록 하였습니다. - 1.거실과 안방은 통일된 디자인으로 진행하였습니다.벽과 바닥은 테라조 타일로 진행하도록 하였습니다. 2.포인트 타일을 조금 다르게 하였는데요 거실욕실은 상부는 화이트라인의 타일로 아래하부는 테라조 타일로 진행하였습니다. 공간이 답답하지 않고 탁트이는 느낌을 받을 수 있습니다.!! - 이번 ' 인천 청라 호반베르디움 2차' 포스팅을 읽어주셔서 감사합니다. 다음 인테리어도 궁금하시죠? 곧 찾아뵙겠습니다.
10032,weak,34py 송파구 잠실엘스 우리 집의 장점을 살리는 인테리어,"거실인테리어다운라이트한샘강마루시스템에어컨실링팬, 다운라이트, 한샘강마루, 시스템에어컨, 실링팬, 무드화이트, 라운드중문, 전실현관숨은공간, 한샘바스, 휴플로어, 한샘바스한샘욕실덧방욕실휴플로어, 한샘주방, 그레이스, 그레이스스노우, 유로700, 한샘주방한샘유로그레이스스노우유로700, 한샘창호시스템에어컨한샘붙박이장맞춤수납무드화이트, 현관무드화이트라운드중문","spa_0008, spa_0001, spa_0010, spa_0007, spa_0011, spa_9999",sty_0002,cos_0009,"거실인테리어다운라이트한샘강마루시스템에어컨실링팬, 다운라이트, 한샘강마루, 시스템에어컨, 실링팬, 무드화이트, 라운드중문, 전실현관숨은공간를 중심으로 sty_0002 톤을 유지하며, 동선/수납을 고려해 spa_0008, spa_0001, spa_0010, spa_0007 위주로 구성한다."
10039,weak,66PY 송파구 문정동 올림픽훼밀리타운 모던 엔틱 인테리어,"거실공간수납인테리어, 거실수납, 빌트인, 거실인테리어, 거실확장, 수납인테리어, 거실공간, 거실인테리어수납공간, 발코니확장, 공용욕실, 대형타일, 고급타일, 베일화이트, 냉장고장, 주방식탁, 팬던트등, 비스포크, 라인조명, 거실조명, 서재, 서재방인테리어, 슬라이딩중문, 안방, 인테리어, 탬바보드, 안방간접조명, 침실간접조명, 안방드레스룸, 드레스룸, 한샘붙박이장, 매트화이트, 안방욕실, 타일욕실, 고급욕실, 안방인테리어, 침실인테리어, 템바보드, 욕실인테리어, 거실욕실, 대형욕실, 욕실리모델링, 주방, 키친, KB100노르딕, 키친바흐, 앤틱주방, KB100, 노르딕","spa_0008, spa_0001, spa_0009, spa_0010, spa_0007, spa_9999",sty_0002,cos_0009,"거실공간수납인테리어, 거실수납, 빌트인, 거실인테리어, 거실확장, 수납인테리어, 거실공간, 거실인테리어수납공간를 중심으로 sty_0002 톤을 유지하며, 동선/수납을 고려해 spa_0008, spa_0001, spa_0009, spa_0010 위주로 구성한다."
