Seq,텍스트,이미지
10007,"┃현관 및 복도 「 골드 포인트 중문과 북유럽풍 패턴 타일의 조합 」 현관 중문은 3연동 슬라이딩 도어를 설치했습니다. 상부는 비산방지 효과 가 있는 망입 유리, 하부는 모루유리 시공으로 지저분한 공간을 가려주었습니다. 신발장은 띄움 시공으로 간접조명을 설치해 현관의 은은한 무드를 더해주었습니다 ㆍ 비산방지란? 유리창이 깨질 경우 조각난 파편이 날리는 것을 방지하기 위해 유리에 얇은 시트지를 붙이는 것을 의미해요!",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/17/1668646463781_0.jpg
10011,1. 유리 파티션을 제거하고 소파자리를 확보하여 거실과 주방의 공간 분리와 의사소통 기능을 가질 수 있으며 2. 아치 형태의 포인트로 시공하여 좁은 주방을 시각적으로 개방감을 주면서 자연스럽게 거실과 주방이 연결성을 가지면서도 모던하고 이색적인 분위기로 연출하였습니다.!,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049487470_0.jpg
10011,"3. 또한, 유리를 설치하지 않아서 대화를 언제든지 이어갈 수 있도록 하며, 거실의 아치포인트쪽을 보면 2인치 다운라이트로 포인트가 되도록 하였습니다. 3인치는 빛이 강해 음영이 부분이 생길 수 있어서 그런부분을 줄이고 고르게 포인트를 주기 위해 2인치로 설치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049443147_0.jpg
10011,안방 1. 특징이 있다면은 출입구가 벽하고 가까워서 붙박이장을 문 앞까지 가지고 들어가면은 2. 통행에 방해가 되어서 출입구쪽은 선반을 설치하도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049869479_0.jpg
10011,거실욕실이랍니다. 거실은 베이지톤의 타일과 나무결의 포인트를 주도록하였습니다. 모래느낌의 사하라와 나무결의 타일로 공간이 따뜻한 느낌을가질 수 있도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668055909603_0.jpg
10017,"단열과 소음, 미세먼지 차단 에 뛰어난 3연동 중문입니다. 좁은공간을 개방감있게 사용하실 수 있고 깔끔한 연출이 가능합니다^^",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668069326656_0.jpg
10017,수납이 탁월한 TV거실장 입니다~ 우물천장 으로 포인트를 주어 은은한 조명으로 더욱 따뜻한 분위기를 연출 했습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668069521099_0.jpg
10017,남은공간을 활용하여 빌트인 화장대를 설계하였습니다^^ LED조명 거울로 고급스러운 분위기를 연출하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668071156192_0.jpg
10017,빌트인 수납장을 활용하여 아이가 좋은 환경에서 놀 수 있게 연출해보았습니다!,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668069843175_0.jpg
10018,"공용욕실은 관리가 편하고 고급스러움까지 연출이 가능한 포세린타일로 시공했습니다. 또한, 거울은 센서 조명으로 간단하게 세면대 이용 시, 간접조명만으로도 충분히 활용이 가능하게끔 해드렸습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/21/1669010865526_0.jpg
