Seq,Title,TagList,apply_space,apply_cost,apply_style
10007,구조 변경 없이 더 넓은 거실 만들기 부천 진달래 49py,"49평형도면, 상동진달래대우, 49평형인테리어, 49평리모델링, 아파트인테리어, 진달래대우아파트, 49평형인테리어, 49평리모델링, 아파트인테리어, 진달래대우아파트, 상동아파트인테리어, 아파트리모델링, 진달래대우푸르지오, 거실인테리어, 아트월템바보드, 아트월인테리어, 거실인테리어, 아트월템바보드, 아트월인테리어, 폴딩도어, 드레스룸, 시스템장, 루바보드, 템바보드, 아트월, 거실인테리어, 보일러장, 보일러장, 복도인테리어, 빌트인tv장, 안방, TV장, 슈퍼슬림3연동중문, 현관인테리어, 슈퍼슬림3연동중문, 현관인테리어, 중문, 현관, 주방, 부엌, 수전, 유로100, 베일라이트우드","spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0011,spa_9999",cos_0009,sty_0002
10011,하남풍산아이파크 33평 아치파티션을 이용하여 거실과 주방을 연결,"3연동슬라이딩도어, 3연동슬라이딩도어, 현관인테리어, 신발장, 행잉형신발장, 3연동슬라이딩도어, 현관인테리어, 신발장, 행잉형신발장, 아치파티션, 거실인테리어, 수납장, 매트화이트, 거실인테리어, 아치파티션, 그레이, 화이트, 강마루, 거실인테리어, 우물천장, 다운라이트, 강마루, 방화문, 방화문필름, 현관인테리어, 붙박이장, 인테리어필름, 붙박이장, 침실인테리어, 화장대, 파우더룸, 아이방인테리어, 강마루, 붙박이장, 아이방인테리어, 붙박이장, 30평대인테리어, 공부방, 아이방인테리어, 책상, 공부방, 자녀방, 아치파티션, 주방인테리어, 화이트, 그레이, 키친, 욕실인테리어, 고급욕실, 호텔식욕실, 화장실인테리어, 욕실인테리어, 변기, 세면기, 한샘바스, 주방인테리어, 그레이, 화이트, 비친판넬, 주방인테리어, 키친, 플랫화이트, 플랫그레이, 키친판넬, 주방인테리어, 키친, 화이트, 그레이, 플랫화이트, 플랫그레이, 침실인테리어, 붙박이장, 화장대","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0007,spa_0011",cos_0007,sty_0002
10017,영유아자녀를 위한 모던 러블리 33평 아파트 리모델링,"3연동, 초슬림, 중문, 망입유리, 공용욕실, 은경슬라이딩장, 레인보우샤워수전, 사각세면대, 모던, 수납, 우물천장, 심플, 비스포크, 세탁기, 삼성, 빌트인, 화장대, LED조명, 템바보드, 붙박이장, 빌트인수납, 침대, 러블리, 수납, 거울, 우드, 아이방, 수납, 안방욕실, 레인보우샤워수전, 숏젠다이, 창고장, 플랫화이트, 가전기기수납장, 빌트인후드, 비스포크냉장고, 삼성비스포크, 수전, 인덕션","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0007,spa_0004,spa_0011,spa_9999",cos_0008,sty_0002
10018,아늑한 안방 공간 분리 32평 2베이 보다 더 넓어보이게,"자주방, 아일랜드식탁, 빌트인냉장고, 아일랜드후드, 디자인문틀, 9mm문틀, 무늬목마루, 광폭마루, 라인조명, 붙박이장, 바흐브라운, 서재, 재택근무, 실린팬, 거실확장, 아치형기둥, 거실인테리어, 아일랜드, 아일랜드주방, 키친핏냉장고, 아치형중문, 여닫이중문, 스윙중문, 포세린타일","spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0005,spa_0007,spa_0011,spa_9999",cos_0008,sty_0002
10020,간결하고 깨끗하게 32평 아파트 리모델링,"중문, 팬던트, 유로식탁","spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0005,spa_0007,spa_0004,spa_0011,spa_9999",cos_0007,sty_0002
10024,브리저튼st 클래식함과 모던함의 믹스매치 인테리어,"그린, 식물, 미니정원, 티테이블, 담소, 그린, 웨인스코팅, 갤러리, 복도, 그린, 웨인스코팅, 갤러리, 복도, 중문, 벽등, 그린, 웨인스코팅, 해링본, 갤러리폴딩도어, 클래식, 모던, 모던, 그레이, 클래식, 믹스매치, 러그, 벽난로, 발코니, 화단, 식물, 사색, 차, 블루, 다크브라운, 차분함, 블루, 화이트, 골드, 비대칭고급형중문, 유로클래식, 행잉형현관장, 클래식거울, 벽조명, 블루, 화이트, 골드, 유로클래식, 행잉형현관장, 클래식거울, 클래식, 모던, 믹스매치, 웨인스코팅, 클래식커튼, 폭신한러그, 클래식, 엔틱, 모던, 믹스매치, 골드, 화이트, 클래식, 엔틱, 모던, 믹스매치, 골드, 화이트, 화장대, 클래식, 엔틱, 모던, 우드, 골드, 침대, 커튼, 핑크, 살구, 화이트, 골드, 클래식, 심플, 웨인스코팅, 화이트, 골드, 세탁실, 다용도실, 화이트, 골드, 클래식, 모던, 유로클래식, 붙박이장, 명품, 화이트, 골드, 클래식도어, 붙박이장, 화이트, 골드, 키친바흐, 맨하탄, 갤러리폴딩도어, 다이닝룸, 유리벽장, 아릴랜드, 대리석, 화이트, 골드, 키친바흐, 맨하탄, 다이닝룸, 유리벽장, 아일랜드, 루버, 화이트, 골드, 키친바흐, 맨하탄, 다이닝룸, 유리벽장, 아일랜드, 비스포크, 키친핏, 화이트, 골드, 프리모, 벽조명, 샤인베이지벽판넬, 한샘바스, 하이브리드욕실, 화이트, 골드, 해바라기, 샤워부스, 프렌치클래식상부장, 프렌치클래식하부장, 샤인화이트벽판넬, 한샘바스, 하이브리드욕실","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0005,spa_0007,spa_0004,spa_0011,spa_9999",cos_0009,sty_0002
10029,모던 다이닝 공간이 포인트 모던한 우드톤 30평대 아파트,"자형주방, 아일랜드후드, 월플러스, 거실벽철거, 대학생, 서재, 드레스룸, 원형러그, 전신거울, 중고등학생, 자녀방, 침대헤드, 아치형도어, 탑뷰","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0007,spa_9999",cos_0008,sty_0002
10030,퇴근이 기다려지는 신혼부부 화이트 모던 24평 청라 호반베르디움 인테리어,"세탁기실, 키친, 주방인테리어, 화이트인테리어, 모던인테리어, 워시타워, 욕실, 화장실, 욕실인테리어, 화장실인테리어, 욕실인테리어, 화이트인테리어, 욕실파티션, 해바라기샤워기, 인천, 인천인테리어, 아파트인테리어, 주거공간, 주방, 주방인테리어, 거실인테리어, 3연동중문, 주방인테리어, 비친, 화이트인테리어, 주방인테리어, 주방키큰장, 가전수납대, 싱크대, 중문, 키친, 주방인테리어, 아파트인테리어, 현관, 신발장, 인테리어, 필름, 다운라이트","spa_0008,spa_0001,spa_0010,spa_0007,spa_0011,spa_9999",cos_0005,sty_0002
10032,34py 송파구 잠실엘스 우리 집의 장점을 살리는 인테리어,"거실인테리어다운라이트한샘강마루시스템에어컨실링팬, 다운라이트, 한샘강마루, 시스템에어컨, 실링팬, 무드화이트, 라운드중문, 전실현관숨은공간, 한샘바스, 휴플로어, 한샘바스한샘욕실덧방욕실휴플로어, 한샘주방, 그레이스, 그레이스스노우, 유로700, 한샘주방한샘유로그레이스스노우유로700, 한샘창호시스템에어컨한샘붙박이장맞춤수납무드화이트, 현관무드화이트라운드중문","spa_0008,spa_0001,spa_0010,spa_0007,spa_0011,spa_9999",cos_0009,sty_0002
10039,66py 송파구 문정동 올림픽훼밀리타운 모던 엔틱 인테리어,"거실공간수납인테리어, 거실수납, 빌트인, 거실인테리어, 거실확장, 수납인테리어, 거실인테리어, 수납인테리어, 거실공간, 거실인테리어수납공간, 거실확장, 발코니확장, 공용욕실, 대형타일, 고급타일, 베일화이트, 냉장고장, 주방식탁, 팬던트등, 비스포크, 라인조명, 거실조명, 서재, 서재방인테리어, 슬라이딩중문, 안방, 인테리어, 탬바보드, 안방간접조명, 침실간접조명, 안방드레스룸, 드레스룸, 한샘붙박이장, 매트화이트, 안방욕실, 타일욕실, 고급욕실, 안방인테리어, 침실인테리어, 템바보드, 욕실인테리어, 거실욕실, 대형타일, 대형욕실, 욕실리모델링, 주방, 키친, KB100노르딕, 키친바흐, 주방, 키친바흐, KB100노르딕, 앤틱주방, 주방, KB100, 키친바흐, 노르딕, 침실인테리어, 키친바흐","spa_0008,spa_0001,spa_0009,spa_0010,spa_0007,spa_9999",cos_0009,sty_0002
