Seq,텍스트,이미지
10000,배곧 한라비발디 캠퍼스 1단지 50평형 인테리어를 소개합니다 거실확장형으로 따뜻하고 밝은분위기를 연출하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667989933214_0.jpg
10000,거실시점 주방뷰입니다,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990709317_0.jpg
10000,한샘 제타화이트 제품으로 깔끔한느낌과 주방입구쪽 파티션시공하여 ㄷ자주방 시공. 수납공간을 극대화 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990181197_0.jpg
10000,베이지톤 따듯한느낌의 600*600각 타일시공하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990213354_0.jpg
10000,"안방욕실입니다. 600*600각 라이트그레이 타일시공 넓어보이는효과, 욕조에이프런 조적타일시공하여 고급스러운 분위기 연출하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990275725_0.jpg
10000,입구우측 가장끝방입니다. 서재방으로 활용하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990319068_0.jpg
10000,"입구1,2방입니다. 공간활용을위해 침대와 책상을 최적화된 위치에 배치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990771414_0.jpg
10002,모던하고 시크한 블랙톤의 도어를 중심으로 전체적으로 화이트와 웜톤을 더하여 부드럽고 따뜻한 느낌의 클래식함과 모던한 분위기를 연출 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990342604_0.jpg
10003,"전체적으로 화이트&우드톤을 활용하여 깔끔한 모던스타일로 구성을 하였습니다. 다양한 인테리어 소품들을 활용하셔도 어울리게 구도를 잡았으며, 주방에 수납력을 극대화시켜 그릇이나 생활용품을 많이 사용하시는분들께서 크게 만족하실 수 있도록 디자인하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667993729145_0.jpg
10007,┃거실,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586864727_0.jpg
10007,┃현관 및 복도,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586843608_0.jpg
10007,"┃현관 및 복도 「 골드 포인트 중문과 북유럽풍 패턴 타일의 조합 」 현관 중문은 3연동 슬라이딩 도어를 설치했습니다. 상부는 비산방지 효과 가 있는 망입 유리, 하부는 모루유리 시공으로 지저분한 공간을 가려주었습니다. 신발장은 띄움 시공으로 간접조명을 설치해 현관의 은은한 무드를 더해주었습니다 ㆍ 비산방지란? 유리창이 깨질 경우 조각난 파편이 날리는 것을 방지하기 위해 유리에 얇은 시트지를 붙이는 것을 의미해요!",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/17/1668646463781_0.jpg
10007,┃ 부엌,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586883611_0.jpg
10007,┃안방,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586932046_0.jpg
10007,┃파우더룸,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586936544_0.jpg
10007,┃드레스룸,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586943319_0.jpg
10011,"#아치파티션#행잉형신발장#플랫화이트#매트화이트 인테리어포인트 : 주방과 거실이 이어진 듯, 연결된 듯! 아치형 포인트를 활용한 인테리어 시작하며 하남 풍산 아이파크 5단지_인테리어 포인트 1. 화이트바탕 &그레이 포인트 2. 거실과 주방을 연결하는 아치 파티션 3. 수납공간",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668047532720_0.jpg
10011,KITCHEN _ 주방 인테리어,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668048105807_0.jpg
10011,1.이번 현장에는 유리파티션이 있었는데요  유리는 없는 상태였습니다. 유리가 있더라도 중간 파티션 벽 때문에 답답했을 것 같았습니다. 2.저희는 어떻게 이것을 장점으로 극대화 할 수 있을까요? 단점은 저희의 장점으로 바꾼다는 거죠~,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668048120830_0.jpg
10011,1. 기존의 주방 또한 전체 원목의 마감으로 답답함이 있어서 화이트 바탕의 싱크대 하부를 그레이 색상으로 시공하여서 화이트의 시원하면서도 그레이의 차분함을 더하도록 하였습니다. 2. 싱크대의 상부 마감 서라운드를 하지 않았는데요 냉장고장의 위에 마감을 맞추기 위해서였습니다. 서라운드는 천장의 수평을 잘 잡을 수 있어야 한답니다. 그렇지 않으면 문을 열 수가 없어요~,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668048133439_0.jpg
10011,LIVING ROOM _ 거실 인테리어,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049373425_0.jpg
10011,1. 유리 파티션을 제거하고 소파자리를 확보하여 거실과 주방의 공간 분리와 의사소통 기능을 가질 수 있으며 2. 아치 형태의 포인트로 시공하여 좁은 주방을 시각적으로 개방감을 주면서 자연스럽게 거실과 주방이 연결성을 가지면서도 모던하고 이색적인 분위기로 연출하였습니다.!,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049487470_0.jpg
10011,"3. 또한, 유리를 설치하지 않아서 대화를 언제든지 이어갈 수 있도록 하며, 거실의 아치포인트쪽을 보면 2인치 다운라이트로 포인트가 되도록 하였습니다. 3인치는 빛이 강해 음영이 부분이 생길 수 있어서 그런부분을 줄이고 고르게 포인트를 주기 위해 2인치로 설치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049443147_0.jpg
10011,ROOM _ 인테리어,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049851176_0.jpg
10011,안방 1. 특징이 있다면은 출입구가 벽하고 가까워서 붙박이장을 문 앞까지 가지고 들어가면은 2. 통행에 방해가 되어서 출입구쪽은 선반을 설치하도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049869479_0.jpg
10011,BATHROOM _ 욕실 인테리어,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668055796609_0.jpg
10011,거실욕실이랍니다. 거실은 베이지톤의 타일과 나무결의 포인트를 주도록하였습니다. 모래느낌의 사하라와 나무결의 타일로 공간이 따뜻한 느낌을가질 수 있도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668055909603_0.jpg
